"KNLRjg4utQc","算法讲解001【入门】学习算法的语言问题以及如何开通gpt4"
"kBh4-ZvX6Hs","算法讲解099【扩展】逆元和除法同余、容斥原理"
"nIPW5exH4vI","算法讲解100【扩展】 KMP算法原理和代码详解"
"QpQUdVL-baA","算法讲解101【扩展】 KMP算法相关题目"
"SYeOMJtvtCg","算法讲解102【扩展】 AC自动机原理、优化、代码详解"
"Td_4dnzGkU4","算法讲解103【扩展】 Manacher算法、扩展KMP"
"Dm1xdNqXIzY","算法讲解104【扩展】 Manacher算法相关题目"
"5rrWmGBB0Xo","算法讲解105【扩展】字符串哈希原理、代码、题目详解"
"ZM2MQJO-QD8","算法讲解106【扩展】哈希函数、哈希表、布隆过滤器、一致性哈希"
"-qvvqAasYk0","算法讲解107【扩展】大厂面试中经常漫聊的有趣算法问题"
"twIZctw858I","算法讲解108【扩展】树状数组原理、扩展、代码详解"
"KRXA3INj6_A","算法讲解109【扩展】树状数组相关题目"
"W2s_7i0wRCU","算法讲解110【扩展】线段树专题1-线段树原理和代码详解"
"Teu-rb4uVVM","算法讲解111【扩展】线段树专题2-线段树的离散化、二分搜索、特别修改"
"xO4JCZT6EBE","算法讲解112【扩展】线段树专题3-线段树维护更多类型的信息"
"u5aXDcYq3HU","算法讲解113【扩展】线段树专题4-线段树解决区间合并的问题"
"8rY4NiayCXM","算法讲解114【扩展】线段树专题5-开点线段树、区间最值和历史最值"
"M0XSnNNeba4","算法讲解115【扩展】线段树专题6-线段树与扫描线结合的题目"
"dm2ZX2S3NY0","算法讲解116【扩展】摩尔投票大加强，线段树里捉海王"
"mcHajWmrTOk","算法讲解117【扩展】倍增算法和ST表"
"fj_ih_wPG3Q","算法讲解118【扩展】树上问题专题1-树上倍增和LCA-上"
"dtjU-0HCFeo","算法讲解119【扩展】树上问题专题2-树上倍增和LCA-下"
"XDz2mNj7lfI","算法讲解120【扩展】树上问题专题3-树的重心"
"3T3kdJvO3Sw","算法讲解121【扩展】树上问题专题4-树的直径"
"DPCOk3HaR7s","算法讲解122【扩展】树上问题专题5-树上差分"
"VQWGjcqSJ4k","算法讲解123【扩展】树上问题专题6-换根dp"
"ehw-VVFcp0s","算法讲解124【扩展】Morris遍历"
"dWlPtV-tmuQ","算法讲解125【扩展】轮廓线dp"
"WgrV4ZdyviM","算法讲解126【扩展】三进制状压dp"
"YDQ7YjbFIs8","算法讲解127【扩展】动态规划优化专题1-优化尝试和状态设计-上"
"iowWpaLLA14","算法讲解128【扩展】动态规划优化专题2-优化尝试和状态设计-下"
"A4yQtvRznm8","算法讲解129【扩展】动态规划优化专题3-倍增优化"
"dQyMCXJD65Y","算法讲解130【扩展】动态规划优化专题4-单调队列和单调栈优化"
"msaCfP-FZto","算法讲解131【扩展】动态规划优化专题5-树状数组和线段树优化"
"Q4qJ9rqqxxc","算法讲解132【扩展】动态规划优化专题6-预处理数组优化"
"wRNZ7cxT3XQ","算法讲解133【扩展】高斯消元专题1-解决加法方程组"
"ztj1mFA_D_I","算法讲解134【扩展】高斯消元专题2-解决异或方程组"
"gZxC3qLNN2E","算法讲解135【扩展】高斯消元专题3-解决同余方程组"
"43J0yuIYY1Q","算法讲解136【扩展】线性基-上"
"8HYpnQVTAY4","算法讲解137【扩展】线性基-下"
"sewBt8apvGg","算法讲解138【扩展】01分数规划"
"O9Hvlk1KmlA","算法讲解139【扩展】裴蜀定理和扩展欧几里得算法"
"TAcPoV5MpzI","算法讲解140【扩展】扩展欧几里得和二元一次不定方程"
"o8iTWjriEVQ","算法讲解141【扩展】中国剩余定理及其扩展"
"YMhhNPSbfPI","算法讲解142【扩展】负环和差分约束"
"ZdL49Qr_-TI","算法讲解143【扩展】同余最短路"
"BK6ofkVawjs","算法讲解144【扩展】二项式定理证明和相关题目"
"HbMiHcYrFQ4","算法讲解145【扩展】二项式反演的四种形式、证明、相关题目"
"wFdkk3XYmms","算法讲解146【扩展】康托展开、约瑟夫环、完美洗牌"
"blH7eY5r8IA","算法讲解147【扩展】卡特兰数题型详解和取模处理"
"7Y8-SZRH0Sw","算法讲解148【扩展】有序表专题1-AVL树"
"jUSi5dlKL44","算法讲解149【扩展】有序表专题2-跳表"
"NAIsNhihjYg","算法讲解150【扩展】有序表专题3-替罪羊树"
"FdHi4iN7y_4","算法讲解151【扩展】有序表专题4-笛卡尔树、Treap树"
"dBX-qdLPNQs","算法讲解152【扩展】有序表专题5-FHQ Treap"
"UN6LjkRDsfw","算法讲解153【扩展】有序表专题6-Splay树"
"8Te4HMLyPFg","算法讲解154【挺难】左偏树的原理、代码、相关题目"
